# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.writer_0.totalTimeSpentWritingMs,1773676590217000000,1773676615644000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1773676590217000000,1773676615644000000,0
Indexes.allKeys.lookups,1773676590217000000,1773676615644000000,1
Indexing.writesQueuedMin,1773676590217000000,1773676615644000000,9223372036854775807
Indexes.entries.lookupDuration90PMs,1773676590217000000,1773676615644000000,0.0
Indexing.totalTimeIndexersSleptMs,1773676590217000000,1773676615644000000,0
Indexing.cache.totalCacheMisses,1773676590217000000,1773676615644000000,117
Indexing.writesQueuedMax,1773676590217000000,1773676615644000000,0
Indexes.stubs.lookupDurationAvgMs,1773676590217000000,1773676615644000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1773676590217000000,1773676615644000000,0
Indexes.entries.lookups,1773676590217000000,1773676615644000000,107
Indexes.allKeys.lookupDuration90PMs,1773676590217000000,1773676615644000000,0.0
Indexing.cache.totalCacheAccesses,1773676590217000000,1773676615644000000,120
Indexes.stubs.lookupDuration90PMs,1773676590217000000,1773676615644000000,0.0
Indexing.cache.totalCacheEvicted,1773676590217000000,1773676615644000000,117
Indexing.writer_3.totalTimeSpentWritingMs,1773676590217000000,1773676615644000000,0
Indexes.entries.lookupDurationMaxMs,1773676590217000000,1773676615644000000,0.0
Indexes.entries.lookupDurationAvgMs,1773676590217000000,1773676615644000000,0.0
Indexes.stubs.lookupDurationMaxMs,1773676590217000000,1773676615644000000,0.0
Indexes.stubs.lookups,1773676590217000000,1773676615644000000,0
Indexes.allKeys.lookupDurationMaxMs,1773676590217000000,1773676615644000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1773676590217000000,1773676615644000000,0.0
VFS.invertedFileNameIndex.requests,1773676590217000000,1773676615644000000,459
VFS.fileByIdCache.hits,1773676590217000000,1773676615644000000,0
VFS.fileByIdCache.misses,1773676590217000000,1773676615644000000,3537
VFS.fileChildByName,1773676590217000000,1773676615644000000,158432
JVM.committedHeapBytes,1773676590217000000,1773676615644000000,915406848
JVM.maxThreadCount,1773676590217000000,1773676615644000000,130
MEM.ramPlusSwapMinusFileMappingsBytes,1773676590217000000,1773676615644000000,1621338752
JVM.GC.collectionTimesMs,1773676590217000000,1773676615644000000,621
OS.loadAverage,1773676590217000000,1773676615644000000,4.81640625
JVM.newThreadsCount,1773676590217000000,1773676615644000000,157
JVM.totalDirectByteBuffersBytes,1773676590217000000,1773676615644000000,14264874
JVM.usedNativeBytes,1773676590217000000,1773676615644000000,476999776
JVM.usedHeapBytes,1773676590217000000,1773676615644000000,525157648
JVM.threadCount,1773676590217000000,1773676615644000000,106
MEM.ramBytes,1773676590217000000,1773676615644000000,1729658880
MEM.fileMappingsRamBytes,1773676590217000000,1773676615644000000,427769856
JVM.totalTimeAtSafepointsMs,1773676590217000000,1773676615644000000,650
JVM.totalCpuTimeMs,1773676590217000000,1773676615644000000,58854
JVM.totalTimeToSafepointsMs,1773676590217000000,1773676615644000000,111
JVM.maxHeapBytes,1773676590217000000,1773676615644000000,2147483648
JVM.GC.collections,1773676590217000000,1773676615644000000,69
JVM.totalSafepointCount,1773676590217000000,1773676615644000000,476
MEM.ramMinusFileMappingsBytes,1773676590217000000,1773676615644000000,1269678080
JVM.totalBytesAllocated,1773676590217000000,1773676615644000000,5402166600
jps.storage.jps.conf.reader.load.component.ms,1773676590217000000,1773676615644000000,4
workspaceModel.mutableEntityStorage.instances.count,1773676590217000000,1773676615644000000,25
workspaceModel.load.cache.metadata.from.file.ms,1773676590217000000,1773676615644000000,25
workspaceModel.save.cache.to.file.ms,1773676590217000000,1773676615644000000,27
workspaceModel.mutableEntityStorage.replace.by.source.ms,1773676590217000000,1773676615644000000,9
jps.global.get.library.ms,1773676590217000000,1773676615644000000,0
workspaceModel.global.apply.state.to.project.ms,1773676590217000000,1773676615644000000,25
workspaceModel.mutableEntityStorage.has.same.entities.ms,1773676590217000000,1773676615644000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1773676590217000000,1773676615644000000,3
workspaceModel.global.apply.state.to.project.builder.ms,1773676590217000000,1773676615644000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1773676590217000000,1773676615644000000,2
workspaceModel.do.save.caches.ms,1773676590217000000,1773676615644000000,39
jps.load.project.to.empty.storage.ms,1773676590217000000,1773676615644000000,49
jps.global.initialize.library.bridges.after.loading.ms,1773676590217000000,1773676615644000000,13
workspaceModel.global.updates.ms,1773676590217000000,1773676615644000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1773676590217000000,1773676615644000000,0
jps.save.changed.project.entities.ms,1773676590217000000,1773676615644000000,0
jps.module.iml.entities.serializer.load.entities.ms,1773676590217000000,1773676615644000000,25
workspaceModel.moduleManagerBridge.newModule.ms,1773676590217000000,1773676615644000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1773676590217000000,1773676615644000000,23
workspaceModel.mutableEntityStorage.collect.changes.ms,1773676590217000000,1773676615644000000,1
jps.save.global.entities.ms,1773676590217000000,1773676615644000000,6
jps.facet.change.listener.process.change.events.ms,1773676590217000000,1773676615644000000,1
